2025-03-11 18:11:48,509 - INFO - Using device: cuda
2025-03-11 18:11:48,509 - INFO - Processing Billies's_Bounce.xml...
2025-03-11 18:11:48,568 - INFO - Processing Mohawk_1.xml...
2025-03-11 18:11:48,585 - INFO - Processing Card_Board.xml...
2025-03-11 18:11:48,600 - INFO - Processing Donna_Lee.xml...
2025-03-11 18:11:48,619 - INFO - Processing Warming_Up_A_Riff.xml...
2025-03-11 18:11:57,367 - INFO - Starting model training...
2025-03-11 18:13:59,870 - INFO - Epoch [75/100], Loss: 6172.8088
2025-03-11 18:14:01,407 - INFO - Epoch [76/100], Loss: 6172.4258
2025-03-11 18:14:03,010 - INFO - Epoch [77/100], Loss: 6172.6104
2025-03-11 18:14:04,602 - INFO - Epoch [78/100], Loss: 6172.4821
2025-03-11 18:14:06,506 - INFO - Epoch [79/100], Loss: 6172.6201
2025-03-11 18:14:08,001 - INFO - Epoch [80/100], Loss: 6172.5607
2025-03-11 18:14:09,855 - INFO - Epoch [81/100], Loss: 6172.4334
2025-03-11 18:14:11,641 - INFO - Epoch [82/100], Loss: 6172.4066
2025-03-11 18:14:13,226 - INFO - Epoch [83/100], Loss: 6172.6930
2025-03-11 18:14:14,794 - INFO - Epoch [84/100], Loss: 6172.8766
2025-03-11 18:14:16,344 - INFO - Epoch [85/100], Loss: 6172.8202
2025-03-11 18:14:18,008 - INFO - Epoch [86/100], Loss: 6172.2148
2025-03-11 18:14:19,610 - INFO - Epoch [87/100], Loss: 6172.6280
2025-03-11 18:14:21,194 - INFO - Epoch [88/100], Loss: 6172.8089
2025-03-11 18:14:23,083 - INFO - Epoch [89/100], Loss: 6172.7430
2025-03-11 18:14:24,810 - INFO - Epoch [90/100], Loss: 6172.8419
2025-03-11 18:14:26,441 - INFO - Epoch [91/100], Loss: 6172.8681
2025-03-11 18:14:27,934 - INFO - Epoch [92/100], Loss: 6172.9161
2025-03-11 18:14:29,670 - INFO - Epoch [93/100], Loss: 6172.9066
2025-03-11 18:14:31,395 - INFO - Epoch [94/100], Loss: 6172.6017
2025-03-11 18:14:33,525 - INFO - Epoch [95/100], Loss: 6172.8368
2025-03-11 18:14:35,379 - INFO - Epoch [96/100], Loss: 6172.7735
2025-03-11 18:14:36,973 - INFO - Epoch [97/100], Loss: 6173.2282
2025-03-11 18:14:38,576 - INFO - Epoch [98/100], Loss: 6172.6821
2025-03-11 18:14:40,173 - INFO - Epoch [99/100], Loss: 6172.6875
2025-03-11 18:14:41,620 - INFO - Epoch [100/100], Loss: 6177.4689
2025-03-11 18:14:41,622 - INFO - Model trained on all files and saved successfully!
