Chord,Offset,Duration
B-7,0.0,0.0
B-7,0.0,0.0
B-7,0.0,0.0
E-7,0.0,0.0
E-7,0.0,0.0
B-7,0.0,0.0
G7,0.0,0.0
Cm,0.0,0.0
F7,0.0,0.0
B-7,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
B-7,0.0,0.0
B-7,0.0,0.0
B-7,0.0,0.0
B-7,0.0,0.0
E-7,0.0,0.0
E-7,0.0,0.0
B-7,0.0,0.0
G7,0.0,0.0
Cm,0.0,0.0
F7,0.0,0.0
B-7,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
B-7,0.0,0.0
E-7,0.0,0.0
B-7,0.0,0.0
B-7,0.0,0.0
E-7,0.0,0.0
E-7,0.0,0.0
B-7,0.0,0.0
G7,0.0,0.0
Cm,0.0,0.0
F7,0.0,0.0
B-7,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
B-7,0.0,0.0
E-7,0.0,0.0
B-7,0.0,0.0
Fm,0.0,0.0
B-7,2.0,0.0
E-7,0.0,0.0
E-7,0.0,0.0
B-7,0.0,0.0
B-7,0.0,0.0
Cm,0.0,0.0
F7,0.0,0.0
B-7,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
B-7,0.0,0.0
Dm,0.0,0.0
G7,2.0,0.0
C,0.0,0.0
E-dim,0.0,0.0
Dm,0.0,0.0
Dm,0.0,0.0
Dm,0.0,0.0
D7,2.0,0.0
G7,0.0,0.0
C,0.0,0.0
Dm,0.0,0.0
G7,2.0,0.0
C,0.0,0.0
E-dim,0.0,0.0
Dm,0.0,0.0
G7,0.0,0.0
Dm,0.0,0.0
G7,0.0,0.0
C,0.0,0.0
E-dim,2.0,0.0
Dm,0.0,0.0
G7,2.0,0.0
C,0.0,0.0
E-dim,0.0,0.0
Dm,0.0,0.0
G7,0.0,0.0
Dm,0.0,0.0
D7,2.0,0.0
G7,0.0,0.0
C,0.0,0.0
Gm,0.0,0.0
C7,2.0,0.0
F,0.0,0.0
B-7,0.0,0.0
C,0.0,0.0
E-dim,0.0,0.0
Dm,0.0,0.0
G7,0.0,0.0
C,0.0,0.0
Dm,0.0,0.0
G7,2.0,0.0
C,0.0,0.0
C,0.0,0.0
A-7,0.0,0.0
A-7,0.0,0.0
A-7,0.0,0.0
A-7,0.0,0.0
G7,2.0,0.0
C,0.0,0.0
D7,0.0,0.0
G7,2.0,0.0
C,0.0,0.0
C,0.0,0.0
Dm,0.0,0.0
Dm,0.0,0.0
Dm,0.0,0.0
G7,0.0,0.0
C,0.0,0.0
G7,0.0,0.0
C,0.0,0.0
E-dim,0.0,0.0
A-,0.0,0.0
A-7,0.0,0.0
A-7,0.0,0.0
G7,0.0,0.0
Gm,0.0,0.0
C7,0.0,0.0
F,0.0,0.0
B-7,0.0,0.0
C,0.0,0.0
E-m,0.0,0.0
Dm,0.0,0.0
G7,0.0,0.0
C,0.0,0.0
Dm,0.0,0.0
G7,2.0,0.0
C,0.0,0.0
B-,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
Dm,0.0,0.0
G7,2.0,0.0
